,hydro_year,station,prcp
0,1957,La Florida,159.0
1,1958,La Florida,85.0
2,1959,La Florida,72.0
3,1960,Cordoba Aero,87.0
4,1960,Cordoba Obs.,75.6
5,1960,La Florida,97.0
6,1960,Laboulaye Aero,57.0
7,1960,Marcos Juarez Aero,59.5
8,1960,Pilar Obs.,48.4
9,1960,Rio Cuarto Aero,53.9
10,1960,Villa Dolores Aero,46.2
11,1960,Villa Maria del Rio Seco,78.0
12,1961,Cordoba Aero,72.6
13,1961,Cordoba Obs.,65.0
14,1961,La Florida,86.5
15,1961,Laboulaye Aero,54.0
16,1961,Marcos Juarez Aero,89.4
17,1961,Pilar Obs.,76.5
18,1961,Rio Cuarto Aero,64.3
19,1961,Villa Dolores Aero,67.0
20,1961,Villa Maria del Rio Seco,59.5
21,1962,Cordoba Aero,97.2
22,1962,Cordoba Obs.,90.8
23,1962,La Florida,59.0
24,1962,Laboulaye Aero,50.0
25,1962,Marcos Juarez Aero,78.0
26,1962,Pilar Obs.,52.3
27,1962,Rio Cuarto Aero,57.8
28,1962,Villa Dolores Aero,48.0
29,1962,Villa Maria del Rio Seco,109.0
30,1963,Cordoba Aero,87.5
31,1963,Cordoba Obs.,66.6
32,1963,La Florida,53.0
33,1963,Laboulaye Aero,114.0
34,1963,Marcos Juarez Aero,73.2
35,1963,Pilar Obs.,52.3
36,1963,Rio Cuarto Aero,58.0
37,1963,Villa Dolores Aero,68.5
38,1963,Villa Maria del Rio Seco,78.5
39,1964,Cordoba Aero,63.1
40,1964,Cordoba Obs.,82.0
41,1964,La Florida,78.0
42,1964,Laboulaye Aero,64.5
43,1964,Marcos Juarez Aero,93.5
44,1964,Pilar Obs.,110.0
45,1964,Rio Cuarto Aero,47.6
46,1964,Villa Dolores Aero,36.5
47,1964,Villa Maria del Rio Seco,39.0
48,1965,Cordoba Aero,43.3
49,1965,Cordoba Obs.,63.5
50,1965,La Florida,178.0
51,1965,Laboulaye Aero,107.0
52,1965,Marcos Juarez Aero,55.8
53,1965,Pilar Obs.,63.2
54,1965,Rio Cuarto Aero,74.8
55,1965,Villa Dolores Aero,48.0
56,1965,Villa Maria del Rio Seco,129.9
57,1966,Cordoba Aero,77.0
