hydro_year,caudal
1979,4776.920000000001
1980,26842.196000000004
1981,22752.625999999964
1982,18063.43299999998
1983,30056.648000000005
1984,25702.123999999985
1985,26768.188000000006
1986,23429.422999999955
1987,24969.438000000006
1988,14887.940999999992
1989,17725.991999999966
1990,27159.530999999988
1992,8329.016000000001
1993,41478.94800000004
1994,24591.61099999999
1995,20122.877999999997
1996,11818.88599999998
1997,30084.455000000024
1998,30233.897000000023
1999,40710.88284000002
2000,38582.12322999999
2001,59214.50871000002
2002,37322.56050000003
2003,19279.782870000014
2004,35631.93513
2005,22152.96173999999
2006,41325.91697000002
2007,25554.459229999997
2008,17674.59224000001
2009,29793.352290000013
2010,22210.96524799999
2011,19134.404550000014
2012,54634.63084
2013,41864.83300000002
2014,58444.56294900001
2015,77834.27300100001
2016,49119.31634000005
2017,7431.643069999997
